Sentence,translation
"Ed una lupa, che di tutte brame sembiava carca ne la sua magrezza, e molte genti fé già viver grame, questa mi porse tanto di gravezza con la paura ch’uscia di sua vista, ch’io perdei la speranza de l’altezza.","E come colui che acquista volentieri, e poi arriva il tempo in cui perde ogni cosa, per cui piange e si rattrista in ogni pensiero, così mi rese la belva senza pace, che venendo contro di me mi sospingeva poco a poco verso il basso, dove non c'era il sole."
"E qual è quei che volentieri acquista, e giugne ’l tempo che perder lo face, che ’n tutti i suoi pensier piange e s’attrista, tal mi fece la bestia sanza pace, che venendomi ’ncontro a poco a poco mi ripigneva là dove ’l sol tace.","Mentre io scivolavo a valle, verso la foresta, apparve davanti ai miei occhi qualcuno che non riuscivo a vedere bene per la penombra."
"Mentre ch’i’ rovinava in basso loco, dinanzi agli occhi mi si fu offerto chi per lungo silenzio parea fioco.","Quando vidi costui nel luogo deserto, gli gridai: «Abbi pietà di me, chiunque tu sia, un'anima o un uomo in carne e ossa!»"
"Quando vidi costui nel gran diserto, «Miserere di me,» gridai a lui, «qual che tu sii, od ombra od omo certo!»","Mi rispose: «No, non sono un uomo, lo sono già stato, e i miei genitori furono della Lombardia, entrambi nativi di Mantova."
"Rispuosemi: «Non omo, omo già fui, e li parenti miei furon lombardi, mantoani per patria ambedui.","Nacqui sotto il governo di Giulio Cesare, anche se negli ultimi anni, e vissi a Roma sotto il governo del buon imperatore Augusto, al tempo degli dei pagani."
"Nacqui sub Iulio, ancor che fosse tardi, e vissi a Roma sotto ’l buono Augusto al tempo de li dei falsi e bugiardi.","Fui poeta, e cantai di quel giusto figlio di Anchise che fuggì da Troia dopo che la superba Troia fu bruciato."
"Poeta fui, e cantai di quel giusto figliuol d’Anchise che venne di Troia poi che il superbo Ilïón fu combusto.","Ma tu, perché ritorni al male della foresta? Perché non scali il colle gioioso, che è principio e causa di ogni felicità?»"
Ma tu perché ritorni a tanta noia? perché non sali il dilettoso monte ch’è principio e cagion di tutta gioia?»,«Allora tu sei quel Virgilio e quella sorgente che spande un così largo fiume di parole?» gli risposi vergognandomi.
"«Or se’ tu quel Virgilio e quella fonte che spandi di parlar sì largo fiume?», rispuos’io lui con vergognosa fronte.","«O tu che sei luce e guida degli altri poeti, mi siano di aiuto il lungo impegno e il grande amore che mi hanno spinto a leggere la tua opera!"
"«O de li altri poeti onore e lume, vagliami ’l lungo studio e ’l grande amore che m’ha fatto cercar lo tuo volume.",Tu sei il mio maestro e il mio modello; tu sei il solo da cui io trassi il bello stile che mi ha reso celebre.
"Tu se’ lo mio maestro e ’l mio autore, tu se’ solo colui da cu’ io tolsi lo bello stilo che m’ha fatto onore.","Vedi la belva che mi ha fatto voltare; aiutami da lei, famoso sapiente, poiché essa fa tremare ogni goccia del mio sangue»."
"Vedi la bestia per cu’ io mi volsi; aiutami da lei, famoso saggio, ch’ella mi fa tremar le vene e i polsi».","«Tu devi compiere un altro viaggio,» mi rispose dopo avermi visto piangere, «se vuoi salvarti da questo luogo selvaggio."
"«A te convien tenere altro viaggio,» rispuose, poi che lagrimar mi vide, «se vuo’ campar d’esto loco selvaggio;","Infatti, la belva che ti fa urlare non lascia passare nessuno per la sua strada, ma lo impedisce al punto di ucciderlo."
"ché questa bestia, per la qual tu gride, non lascia altrui passar per la sua via, ma tanto lo ’mpedisce che l’uccide;","E ha un'indole così malvagia e malefica che non può mai soddisfare la sua bramosia, e dopo ogni pasto ha più fame di prima."
"e ha natura sì malvagia e ria, che mai non empie la bramosa voglia, e dopo ’l pasto ha più fame che pria.","Sono molti gli animali a cui si accoppia, e saranno sempre di più, finché arriverà il cane da caccia (veltro) che la farà morire con dolore."
"Molti son li animali a cui s’ammoglia, e più saranno ancora, infin che ’l veltro verrà, che la farà morir con doglia.","Costui non baderà alle ricchezze materiali, ma solo a quelle spirituali e la sua nascita avverrà tra feltro e feltro."
"Questi non ciberà terra né peltro, ma sapïenza, amore e virtute, e sua nazion sarà tra feltro e feltro.","Sarà la salvezza di quell'umile Italia, per cui morirono in battaglia Eurialo e Niso, Turno, la vergine Camilla."
"Di quella umile Italia fia salute per cui morì la vergine Cammilla, Eurìalo e Turno e Niso di ferute.","Costui le darà la caccia per ogni città, finché l'avrà rimessa nell'Inferno da dove l'invidia (del demonio) la fece uscire per la prima volta."
"Questi la caccerà per ogne villa, fin che l’avrà rimessa ne lo ’nferno, là onde invidia prima dipartilla.","Perciò io penso e giudico per il tuo bene che tu debba seguirmi, e io ti farò da guida; e ti porterò via di qui per guidarti in un luogo dell'Oltretomba, dove udirai le grida disperate e vedrai le antiche anime dei dannati, ciascuno dei quali invoca la morte definitiva."
"Ond’io per lo tuo me’ penso e discerno che tu mi segui, ed io sarò tua guida, e trarrotti di qui per loco etterno, ove udirai le disperate strida, vedrai li antichi spiriti dolenti, ch’a la seconda morte ciascun grida;","E poi vedrai coloro che sono contenti di subire pene, perché sperano un giorno di raggiungere i beati del Paradiso"
"e vederai color che son contenti nel foco, perché speran di venire quando che sia a le beate genti.","E se poi tu vorrai salire a visitare questi ultimi, allora ci sarà un'anima più degna di me per farti da guida: quando me ne andrò, ti lascerò con lei."
"A le quai poi se tu vorrai salire, anima fia a ciò di me più degna: con lei ti lascerò nel mio partire;","Infatti, quell'imperatore che regna lassù, non vuole che io entri nella sua città, in quanto fui ribelle alla sua legge."
"ché quello imperador che lassù regna, perch’i’ fu’ ribellante a la sua legge, non vuol che ’n sua città per me si vegna. In tutte parti impera e quivi regge; quivi è la sua città e l’alto seggio; oh felice colui cu’ ivi elegge!»","Dio ha autorità in tutto l'Universo e in Paradiso governa; qui c'è la sua città e il suo alto trono; oh, felice colui che sceglie per risiedere in quel luogo!»"
"E io a lui: «Poeta, io ti richeggio per quello Dio che tu non conoscesti, a ciò ch’io fugga questo male e peggio, che tu mi meni là dov’or dicesti, sì ch’io veggia la porta di san Pietro e color che tu fai cotanto mesti»","E io gli dissi: «Poeta, in nome di quel Dio che non hai conosciuto e affinché io fugga questo male e altri peggiori, ti chiedo di condurmi là dove hai detto, così che io veda la porta di San Pietro e coloro che descrivi tanto miseri»."
"Lo giorno se n’andava, e l’aere bruno toglieva li animai che sono in terra da le fatiche loro; e io sol uno m’apparecchiava a sostener la guerra sì del cammino e sì de la pietate, che ritrarrà la mente che non erra.","l giorno era quasi finito, e l'oscurità toglieva gli animali che sono in terra dalle loro fatiche; e io ero il solo che mi preparavo ad affrontare un cammino angoscioso e terribile, che la mia mente infallibile descriverà."
"O muse, o alto ingegno, or m’aiutate; o mente che scrivesti ciò ch’io vidi, qui si parrà la tua nobilitate.","O muse, o alto ingegno poetico, aiutatemi; o mente, che annotasti quello che hai visto, qui dovrai dare dimostrazione della tua nobiltà."
"Io cominciai: «Poeta che mi guidi, guarda la mia virtù s’ell’è possente, prima ch’a l’alto passo tu mi fidi.","Io cominciai a dire: «Poeta che mi guidi, valuta se la mia virtù è sufficiente, prima di condurmi in questo arduo viaggio."
"Tu dici che di Silvio il parente, corruttibile ancora, ad immortale secolo andò, e fu sensibilmente.","Tu dici che il padre di Silvio, ancora in vita, andò nell'Aldilà in carne e ossa, con tutto il corpo"
"Però, se l’avversario d’ogne male cortese i fu, pensando l’alto effetto ch’uscir dovea di lui e ’l chi e ’l quale, non pare indegno ad omo d’intelletto; ch’e’ fu de l’alma Roma e di suo impero ne l’empireo ciel per padre eletto","Perciò, se il nemico di ogni male fu cortese verso di lui, l'uomo e i suoi meriti non sembrano indegni a un uomo dotato di intelletto, se si pensa all'alto effetto che doveva essere prodotto da lui; infatti egli fu scelto nell'Empireo come fondatore della nobile Roma e del suo impero:"
"la quale e ’l quale, a voler dir lo vero, fu stabilita per lo loco santo u’ siede il successor del maggior Piero.","e Roma e il suo impero, a dire la verità, furono stabiliti come la santa sede dove risiede il successore del primo papa."
"Per quest’andata onde li dai tu vanto, intese cose che furon cagione di sua vittoria e del papale ammanto.","Grazie a questo viaggio che tu narri, Enea sentì cose che lo portarono poi alla vittoria e produssero il manto papale."
"Ma io perché venirvi? o chi ’l concede? Io non Enea, io non Paulo sono: me degno a ciò né io né altri ’l crede.","Ma io perché dovrei andarci? chi lo concede? Io non sono Enea, né san Paolo; né io né nessun altro mi ritiene all'altezza di questo compito."
"Per che, se del venire io m’abbandono,  temo che la venuta non sia folle. Se’ savio; intendi me’ ch’i’ non ragiono».","Perciò, se accetto di seguirti, temo che il mio viaggio sia una follia. Sei saggio, comprendi meglio di come io possa spiegare»."
"E qual è quei che disvuol ciò che volle e per novi pensier cangia proposta, sì che dal cominciar tutto si tolle, tal mi fec’io ’n quella oscura costa, perché, pensando, consumai la ’mpresa che fu nel cominciar cotanto tosta.","E come colui che non vuole più ciò che voleva, e cambia idea a causa di nuovi pensieri, cosicché recede totalmente dai suoi propositi, così divenni io in quei luoghi oscuri, perché pensandoci sopra posi fine all'impresa che fu così rapida all'inizio."
"«S’i’ ho ben la parola tua intesa», rispuose del magnanimo quell’ombra; «l’anima tua è da viltade offesa; la qual molte fiate l’omo ingombra sì che d’onrata impresa lo rivolve, come falso veder bestia quand’ombra.","L'ombra di quel nobile uomo rispose così: «Se io ho capito bene le tue parole, la tua anima è vittima di viltà, la quale molte volte opprime l'uomo e lo fa desistere da un'impresa onorevole, proprio come una falsa immagine fa imbizzarrire una bestia quando si adombra."
"Da questa tema acciò che tu ti solve, dirotti perch’io venni e quel ch’io ’ntesi nel primo punto che di te mi dolve.","Affinché tu ti liberi da questi timori, ti dirò perché sono venuto qui e quello che sentii nel primo momento che provai per te dolore."
"Io era tra color che son sospesi, e donna mi chiamò beata e bella, tal che di comandare io la richiesi.","Io ero tra le anime sospese del Limbo, e mi chiamò una donna tanto beata e tanto bella che le chiesi di comandarmi."
"Lucevan li occhi suoi più che la stella; e cominciommi a dir soave e piana, con angelica voce, in sua favella:","I suoi occhi erano più lucenti di una stella e lei iniziò a parlarmi con tono dolce e soave, con una voce che sembrava il linguaggio di un angelo:"
"O anima cortese mantoana, di cui la fama ancor nel mondo dura, e durerà quanto ’l mondo lontana, l’amico mio, e non de la ventura, ne la diserta piaggia è impedito sì nel cammin, che volt’è per paura;","O nobile anima mantovana, di cui la fama ancora perdura nel mondo e durerà tanto quanto il mondo, colui che mi amò in modo disinteressato sul pendio deserto di un colle è impedito a tal punto che si è voltato indietro per paura;"
"e temo che non sia già sì smarrito, ch’io mi sia tardi al soccorso levata, per quel ch’i’ ho di lui nel cielo udito.","e temo che sia già smarrito a tal punto che io mi sono mossa troppo tardi per soccorrerlo, per quello che ho sentito su di lui in cielo."
"Or movi, e con la tua parola ornata e con ciò c’ha mestieri al suo campare l’aiuta, sì ch’i’ ne sia consolata.","Ora muoviti, e con la tua parola elegante, e con ciò che è necessario per la sua salvezza, aiutalo in modo che io ne sia consolata."
"I’ son Beatrice che ti faccio andare; vegno del loco ove tornar disio; amor mi mosse, che mi fa parlare.",Io che ti faccio andare sono Beatrice; vengo da dove desidero tornare; l'amore mi ha fatto venire qui a parlarti
"Quando sarò dinanzi al segnor mio, di te mi loderò sovente a lui. Tacette allora, e poi comincia’ io:","Quando sarò davanti a Dio, spesso loderò il tuo nome. Allora tacque e io risposi:"
"O donna di virtù, sola per cui l’umana spezie eccede ogne contento di quel ciel c’ha minor li cerchi sui, tanto m’aggrada il tuo comandamento, che l’ubidir, se già fosse, m’è tardi; più non t’è uo' ch'aprirmi il tuo talento.","O donna virtuosa, l'unica per cui la specie umana si eleva al di sopra di tutto ciò che si trova sotto il cielo della Luna, la tua richiesta mi trova così d'accordo che se anche avessi giù ubbidito sarebbe tardi; non devi fare altro che dirmi quello che vuoi."
Ma dimmi la cagion che non ti guardi de lo scender qua giuso in questo centro de l’ampio loco ove tornar tu ardi,"Ma dimmi il motivo per cui non hai timore nello scendere quaggiù, all'Inferno, dal luogo più ampio dove desideri tornare."
"Da che tu vuo’ saver cotanto a dentro, dirotti brievemente, mi rispuose, perch’io non temo di venir qua entro.","Lei mi rispose: Poiché vuoi maggiori dettagli, ti spiegherò in breve il motivo per cui non temo di venire qua dentro."
"Temer si dee di sole quelle cose c’hanno potenza di fare altrui male; de l’altre no, ché non son paurose.","Si devono temere soltanto quelle cose che hanno il potere di fare male agli altri; le altre no, poiché non sono spaventose."
"I’ son fatta da Dio, sua mercé, tale, che la vostra miseria non mi tange, né fiamma d’esto incendio non m’assale.","Io sono resa da Dio, bontà sua, tale che la vostra miseria non mi tocca e nessuna fiamma dell'Inferno può danneggiarmi."
"Donna è gentil nel ciel che si compiange di questo ’mpedimento ov’io ti mando, sì che duro giudicio là sù frange.","Nel cielo c'è una donna nobile che si duole di questo impedimento per il quale chiedo il tuo aiuto, così che infrange il duro giudizio divino."
"Questa chiese Lucia in suo dimando e disse: Or ha bisogno il tuo fedele di te, e io a te lo raccomando.",Costei chiese di parlare a Lucia e le disse: Ora il tuo fedele ha bisogno di te e io a te lo raccomando
"Lucia, nimica di ciascun crudele, si mosse, e venne al loco dov’i’ era, che mi sedea con l’antica Rachele","Lucia, nemica di ogni uomo crudele, si mosse e venne là dove io ero, seduta accanto all'antica Rachele."
"Disse: Beatrice, loda di Dio vera, ché‚ non soccorri quei che t’amò tanto, ch’uscì per te de la volgare schiera?","Mi disse: Beatrice, autentica lode di Dio, perché non soccorri colui che ti amò al punto da elevarsi al di sopra della schiera volgare?"
non odi tu la pieta del suo pianto? non vedi tu la morte che ’l combatte su la fiumana ove ’l mar non ha vanto?,Non senti l'angoscia del suo pianto? non vedi la morte che combatte sul gorgo tempestoso del peccato?
"Al mondo non fur mai persone ratte a far lor pro o a fuggir lor danno, com’io, dopo cotai parole fatte, venni qua giù del mio beato scanno, fidandomi del tuo parlare onesto, ch’onora te e quei ch’udito l’hanno","Al mondo non ci furono mai persone tanto rapide a perseguire il loro vantaggio o a fuggire il loro danno, quanto io, dopo aver udito quelle parole, venni quaggiù dal mio scanno celeste, affidandomi alle tue parole nobili che onorano te e quelli che le hanno udite"
"Poscia che m’ebbe ragionato questo, li occhi lucenti lagrimando volse; per che mi fece del venir più presto;","Dopo che mi ebbe detto questo, girò gli occhi che brillavano per il pianto, il che mi indusse a venire più presto;"
e venni a te così com’ella volse; d’inanzi a quella fiera ti levai che del bel monte il corto andar ti tolse.,e venni da te come lei volle; ti soccorsi da quella belva (la lupa) che ti impedì una facile ascesa al colle.
"Dunque: che è? perché, perché restai? perché tanta viltà nel core allette? perché ardire e franchezza non hai? poscia che tai tre donne benedette curan di te ne la corte del cielo, e ’l mio parlar tanto ben ti promette?».","Allora che c'è? perché, perché resti qui? perché coltivi in cuore tanta viltà? perché non hai coraggio e determinazione, visto che queste tre donne benedette si preoccupano per te nella corte celeste e le mie parole ti promettono ogni bene?»"
"Quali fioretti dal notturno gelo chinati e chiusi, poi che ’l sol li ’mbianca si drizzan tutti aperti in loro stelo, tal mi fec’io di mia virtude stanca, e tanto buono ardire al cor mi corse, ch’i’ cominciai come persona franca:","Come dei fiorellini chiusi e rivolti in basso dal gelo notturno si drizzano tutti aperti sul loro stelo, dopo che il sole li ha illuminati, così feci io con la mia stanca virtù, e al cuore mi venne tanto coraggio che iniziai a dire, come persona rinfrancata:"
«Oh pietosa colei che mi soccorse! e te cortese ch’ubidisti tosto a le vere parole che ti porse!,"«Oh donna pietosa che mi soccorse, e tu cortese che obbedisti subito alle parole autentiche che ti disse!"
"Tu m’hai con disiderio il cor disposto sì al venir con le parole tue, ch’i’ son tornato nel primo proposto.","Tu, con le tue parole, mi hai disposto il cuore al desiderio di venire, al punto che che sono tornato al primo proposito."
"Or va, ch’un sol volere è d’ambedue: tu duca, tu segnore, e tu maestro». Così li dissi; e poi che mosso fue, intrai per lo cammino alto e silvestro.","Adesso va, poiché entrambi vogliamo la stessa cosa: tu sei la mia guida, il mio signore, il mio maestro». Così gli dissi, e dopo che si fu messo in cammino intrapresi il percorso arduo e selvaggio."
"Voi ch’ascoltate in rime sparse il suono di quei sospiri ond’io nudriva ’l core in sul mio primo giovenile errore quand’era in parte altr’uom da quel ch’i’ sono,","Voi che ascoltate in queste poesie il suono di quei sospiri con i quali io nutrivo il mio cuore al tempo del mio errore giovanile, quand'ero in parte un uomo diverso da quello che sono adesso,"
"del vario stile in ch’io piango et ragiono fra le vane speranze e ’l van dolore, ove sia chi per prova intenda amore, spero trovar pietà, nonché perdono.","spero di trovare la compassione e il perdono tra coloro che capiscono l'amore perché lo hanno provato, perdono dello stile diseguale nel quale io rifletto piangendo fra la vana speranza e il vano dolore."
"Ma ben veggio or sì come al popol tutto favola fui gran tempo, onde sovente di me medesmo meco mi vergogno;","Ma io vedo bene adesso, come per molto tempo io fui canzonato da tutti, motivo per cui io spesso mi vergogno di me stesso;"
"et del mio vaneggiar vergogna è ’l frutto, e ’l pentersi, e ’l conoscer chiaramente che quanto piace al mondo è breve sogno","del mio innamoramento folle i frutti sono la vergogna, il pentimento e il riconoscere con chiarezza che tutto ciò che rende felice la vita in questo mondo è un breve sogno."
"Per fare una leggiadra sua vendetta et punire in un dí ben mille offese, celatamente Amor l’arco riprese, come huom ch’a nocer luogo et tempo aspetta.","Come colui che aspetta il momento e l'occasione giusta per nuocere, amore di nascosto riprese in mano l'arco, per vendicarsi amabilmente e punire in un sol colpo le mille offese a lui fatte"
"Era la mia virtute al cor ristretta per far ivi et ne gli occhi sue difese, quando ’l colpo mortal là giú discese ove solea spuntarsi ogni saetta.","Io ero concentrato con tutta la mia forza di volontà a proteggere il cuore, e con esso gli occhi, quando il colpo mortale riuscì a cogliere il bersaglio, conficcandosi dove fin'ora ogni freccia aveva fallito."
"Però, turbata nel primiero assalto, non ebbe tanto né vigor né spazio che potesse al bisogno prender l’arme,","Perciò, turbata al primo attacco, non ebbe la forza né il tempo necessario a prendere le armi per difendersi;"
"overo al poggio faticoso et alto ritrarmi accortamente da lo strazio del quale oggi vorrebbe, et non pò, aitarme.","oppure ritirarsi sulla rocca della saggezza, tanto alta quanto faticosa da raggiungere, ma protetta dallo strazio contro il quale oggi vorrei e non posso difendermi."
"Era il giorno ch’al sol si scoloraro per la pietà del suo factore i rai, quando i’ fui preso, et non me ne guardai, ché i be’ vostr’occhi, donna, mi legaro.",Era il venerdì santo quando fui conquistato dai vostri occhi e mi legai a te.
"Tempo non mi parea da far riparo contra colpi d’Amor: però m’andai secur, senza sospetto; onde i miei guai nel commune dolor s’incominciaro.","Non mi pareva il momento di difendermi dai colpi dell'amore, e per questo me ne andavo sicuro."
"Trovommi Amor del tutto disarmato et aperta la via per gli occhi al core, che di lagrime son fatti uscio et varco:","L'amore mi trovò disarmato e trovò aperta la via che, tramite gli occhi, va al cuore: questo fu l'inizio delle mie sofferenze, diventate la fonte delle mie lacrime."
"però, al mio parer, non li fu honore ferir me de saetta in quello stato, a voi armata non mostrar pur l’arco.","Però, secondo me, non gli fu onorevole colpire me con una freccia mentre ero disarmato, e a voi Laura che eravate armata non vi fu onorevole non mostrare l'arco."
"Que’ ch’infinita providentia et arte mostrò nel suo mirabil magistero, che crïò questo et quell’altro hemispero, et mansüeto piú Giove che Marte,","colui che mostrò una provvidenza e un'arte infinita con la sua meravigliosa opera di creazione del mondo, che creò l'uno e l'altro emisfero e diede a Giove la capacità di avere influssi più benevoli di Marte,"
"vegnendo in terra a ’lluminar le carte ch’avean molt’anni già celato il vero, tolse Giovanni da la rete et Piero, et nel regno del ciel fece lor parte.","facendosi uomo per rischiarare le letture sacre; che avevano per molti anni tenuto nascosto il loro vero significato, e distolse Giovanni e Piero dal loro mestiere di pescatori, facendoli partecipi del regno dei cieli"
"Di sé nascendo a Roma non fe’ gratia, a Giudea sí, tanto sovr’ogni stato humiltate exaltar sempre gli piacque;","non diede a Roma l'onore di nascere in quella terra, ma in Giudea piuttosto, per far sì che fosse realizzata la sua volontà di rendere quella degli umili la condizione umana a lui prediletta!"
"ed or di picciol borgo un sol n’à dato, tal che natura e ’l luogo si ringratia onde sí bella donna al mondo nacque.","Così ora da una piccola terra ha fatto nascere un sole tale, che gli uomini ringraziano la natura e il luogo che hanno prodotto una donna così bella."
"Quando io movo i sospiri a chiamar voi, e 'l nome che nel cor mi scrisse Amore, laudando s'incomincia udir di fore il suon de' primi dolci accenti suoi.","Quando io sospirando comincio a chiamarvi, e con voi il nome che Amore ha impresso sul mio cuore, tra le lodi si comincia a sentire da fuori il suono delle dolci lettere"
"Vostro stato real, che 'ncontro poi, raddoppia a l'alta impresa il mio valore; ma: taci, grida il fin, ché farle honore è d'altri homeri soma che da' tuoi.","Il vostro stato regale, che si ritrova poi, raddoppia il valore dell'intento di lodarvi; ma, è come se gridasse taci l'ultima sillaba del nome: perché rendervi onore è un impegno troppo grande per le mie forze."
"Cosí laudare et reverire insegna la voce stessa, pur ch'altri vi chiami, o d'ogni reverenza et d'onor degna:","Così il vostro stesso nome insegna a lodare e a riverire per il semplice fatto di pronunciarlo quando si parla, o persona degna di ogni riverenza e onore:"
se non che forse Apollo si disdegna ch'a parlar de' suoi sempre verdi rami lingua mortal presumptüosa vegna.,"perché Apollo vieta, che a parlare dei suo rami sempre verdi, sia la lingua di un essere mortale presuntuoso."
"Sí travïato è ’l folle mi’ desio a seguitar costei che ’n fuga è volta, et de’ lacci d’Amor leggiera et sciolta vola dinanzi al lento correr mio,","Il mio folle desiderio è così traviato a forza di seguire lei che fugge, e che libera e senza il peso d'ogni vincolo d'amore sembra quasi volare in confronto al mio agire lento"
"che quanto richiamando piú l’envio per la secura strada, men m’ascolta: né mi vale spronarlo, o dargli volta, ch’Amor per sua natura il fa restio.","che quando provo ad indirizzare l'amore verso una strada più sicura, non mi ascolta: a niente serve forzare lo stato delle cose, o mettergli le briglie, perchè tanto più l'amore, per sua natura, comincia a sfuggire al controllo della mia volontà;"
"Et poi che ’l fren per forza a sé raccoglie, i’ mi rimango in signoria di lui, che mal mio grado a morte mi trasporta:","e poi quando a forza si strappa il freno, io vengo trascinato senza alcun controllo dove vuole lui, conducendomi senza possibilità di fermarlo verso la morte:"
"sol per venir al lauro onde si coglie acerbo frutto, che le piaghe altrui gustando afflige piú che non conforta.","ma giunge infine al lauro da cui pendono frutti acerbi, quel lauro che, quando lo si riesca a gustare, acuisce più che alleviare le ferite."
"Convenevole cosa è, carissime donne, che ciascheduna cosa la quale l’uomo fa, dallo ammirabile e santo nome di Colui il quale di tutte fu facitore le dea principio.","È opportuno, carissime donne, che a qualsiasi cosa faccia l’uomo, sia dato inizio nell’ammirabile e santo nome di Colui che le creò tutte."
"Per che, dovendo io al nostro novellare, sì come primo, dare cominciamento, intendo da una delle sue maravigliose cose incominciare, acciò che, quella udita, la nostra speranza in lui, sì come in cosa impermutabile, si fermi e sempre sia da noi il suo nome lodato.","Per cui, dovendo io, come primo, dare inizio al nostro raccontare, intendo cominciare da una delle sue meraviglie, affinché, una volta ascoltata, la nostra speranza in Lui, resti immutabile e sia sempre lodato da noi il suo nome"
"Manifesta cosa è che, sì come le cose temporali tutte sono transitorie e mortali, così in sé e fuor di sé essere piene di noia e d’angoscia e di fatica e ad infiniti pericoli soggiacere;","È risaputo che, le cose terrene sono transitorie e mortali, sono piene di dolori, di angoscia e di fatica sia dentro che fuori e sono soggette ad infiniti pericoli;"
"alle quali senza niuno fallo né potremmo noi, che viviamo mescolati in esse e che siamo parte d’esse, durare né ripararci, se spezial grazia di Dio forza e avvedimento non ci prestasse.","né noi, che ci viviamo in mezzo e ne facciamo parte, potremmo resistere ed evitarle, se la grazia speciale di Dio non ci infondesse forza e prudenza"
"La quale a noi e in noi non è da credere che per alcuno nostro merito discenda, ma dalla sua propia benignità mossa e da prieghi di coloro impetrata che, sì come noi siamo, furon mortali, e bene i suoi piaceri mentre furono in vita seguendo, ora con lui etterni sono divenuti e beati;","Non dobbiamo pensare che la grazia divina discenda su di noi per merito nostro, ma scaturisce dalla sua benevolenza e ci è concessa grazie alle preghiere di coloro che, proprio come noi, furono mortali e seguirono bene le sue volontà mentre furono in vita ed ora, con Lui, sono divenuti eterni e beati."
